First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
L0261,985,L1231,997,906,75, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0277,984,L2415,757,680,59, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0285,1003,L2563,915,846,67, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0308,1005,L1761,961,894,67, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0315,995,L2269,810,706,96, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0316,986,L2434,907,824,66, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0327,989,L2436,896,800,83, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0340,1003,L2437,912,830,80, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0341,998,L2319,898,798,93, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0344,1003,L0691,1002,912,90, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0346,1003,L2368,908,822,84, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0372,996,L2226,796,724,66, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0373,1001,L2481,910,843,67, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0379,998,L2373,850,787,56, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0388,998,L2372,889,812,70, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0391,997,L2375,878,807,65, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0395,994,L2476,913,814,88, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0410,990,L2431,886,807,70, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0416,999,L2569,915,841,68, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0417,1002,L2570,914,853,58, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0420,976,L2571,915,803,85, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0434,1000,L0947,958,877,76, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0434,1000,L2676,884,807,72, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0434,1000,L5446,1003,912,86, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0459,707,L2344,805,507,60, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0464,679,L2404,907,514,90, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0465,779,L1733,1002,696,82, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0594,692,L2952,883,546,59, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0601,846,L2848,900,689,64, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0608,737,L2905,814,539,56, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0613,809,L3879,1005,750,59, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0622,695,L3246,1005,632,63, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0631,797,L2862,904,647,68, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0653,992,L2752,865,788,64, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0653,992,L5254,1005,945,47, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0658,987,L0923,1003,950,37, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0670,998,L0726,999,953,44, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0677,1003,L0730,997,932,65, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0677,1003,L2607,833,774,57, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0677,1003,L5615,1005,952,51, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0678,1000,L0737,959,894,65, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0683,997,L1013,988,957,31, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0690,996,L2318,888,813,70, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0696,1002,L0712,999,964,34, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0700,983,L2745,857,753,83, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0700,983,L3293,1005,897,86, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0700,983,L3376,1005,906,77, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0702,1000,L2779,914,837,72, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0702,1000,L3356,1005,928,72, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0705,965,L2919,899,803,65, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0708,990,L2828,881,779,87, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0713,998,L2634,821,741,75, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0719,977,L2238,803,712,73, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0719,977,L2554,910,825,63, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0720,1004,L2823,911,851,60, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0721,1003,L2463,913,851,60, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0723,999,L4888,1002,943,53, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0724,991,L2589,765,702,57, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0727,1003,L2612,903,841,60, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0730,997,L2607,833,745,80, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0730,997,L5615,1005,931,66, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0732,998,L5180,1004,927,70, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0739,993,L2927,908,845,54, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0740,997,L2992,854,762,87, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0750,999,L2599,907,829,73, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0751,1003,L3043,875,796,77, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0751,1003,L3354,1005,946,57, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0752,997,L2606,901,818,75, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0752,997,L4907,1005,946,51, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0759,1001,L2991,850,762,86, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0760,1001,L3047,890,802,86, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0761,992,L2753,764,711,40, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0771,1001,L2615,905,834,67, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0780,1000,L3080,911,820,87, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0785,1003,L4984,990,897,93, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0788,1001,L3085,890,825,62, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0798,1000,L2907,876,798,73, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0798,1000,L3560,1005,943,57, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0802,1003,L2812,834,765,67, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0803,996,L2913,908,810,93, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0803,996,L3562,1002,909,87, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0804,1003,L2781,906,847,57, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0804,1003,L5026,1000,959,39, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0805,1000,L2777,912,847,60, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0820,999,L2802,854,786,62, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0822,839,L5293,1004,785,53, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0827,950,L2939,869,744,76, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0884,1003,L2756,863,783,78, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0893,999,L2292,717,653,58, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0895,999,L2792,892,830,56, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0897,998,L2824,912,854,53, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0898,1003,L2899,910,848,60, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0906,993,L2687,856,781,63, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0906,993,L5438,1005,939,54, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0925,998,L3650,1000,958,40, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0927,991,L2600,914,819,83, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0931,990,L2775,804,714,78, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0933,998,L2629,807,726,75, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0935,969,L2790,915,812,71, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0945,964,L2815,909,802,72, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0947,958,L2676,884,786,58, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0947,958,L5446,1003,906,51, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0951,989,L2620,913,812,85, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0953,981,L2856,888,806,65, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0954,988,L2597,908,831,69, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0963,1001,L2799,902,835,65, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0963,1001,L5002,994,946,44, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0964,978,L2782,899,814,62, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0983,1003,L2942,879,815,62, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0983,1003,L5053,1005,945,58, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0989,1001,L2912,908,863,43, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0989,1001,L3355,1004,949,51, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0998,997,L3106,1005,920,77, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L1007,1000,L2808,860,785,72, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L1007,1000,L5009,949,868,80, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L1014,958,L2959,884,782,66, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L1084,985,L1092,999,949,36, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L1102,981,L2348,808,727,67, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
