matching_loci,mismatching_loci,mismatch_prop,first_id,first_loci_typed,first_sample_id,first_gen_id,first_tag_id,second_id,second_loci_typed,second_sample_id,second_gen_id,second_tag_id
969,32,0.03196803196803197,L5043,1005,APCL16_279,2190,985153000355715,L5368,1001,APCL15_355715,2190,985153000355715
838,76,0.08315098468271334,L3081,914,APCL15_371463,1258,985153000371463,L5059,1005,APCL16_297,1258,985153000371463
739,80,0.09768009768009768,L3005,819,APCL15_373270,1298,985153000373270,L5054,1005,APCL16_292,1670,985153000373270
675,234,0.25742574257425743,L2616,914,APCL15_375244,1327,985153000375244,L4938,1000,APCL17_469,2365,985153000375244
837,72,0.07920792079207921,L2831,910,APCL15_375761,1336,985153000375761,L5052,1004,APCL16_290,1336,985153000375761
863,43,0.04746136865342163,L2771,906,APCL15_399571,1343,985153000399571,L5223,1005,APCL16_516,1343,985153000399571
