first_id,first_loci_typed,first_sample_id,first_fish_table_id,first_anem_table_id,first_size,first_color,first_gen_id,first_recap,first_tag_id,first_fish_obs_time,first_fish_collector,first_fish_notes,first_dive_table_id,first_anem_obs_time,first_anem_id,first_anem_obs,first_anem_collector,first_anem_notes,first_dive_num,first_date,first_site,first_gps,first_divers,second_id,second_loci_typed,second_sample_id,second_fish_table_id,second_anem_table_id,second_size,second_color,second_gen_id,second_recap,second_tag_id,second_fish_obs_time,second_fish_collector,second_fish_notes,second_dive_table_id,second_anem_obs_time,second_anem_id,second_anem_obs,second_anem_collector,second_anem_notes,second_dive_num,second_date,second_site,second_gps,second_divers,matching_loci,mismatching_loci,pID,pIDsib,status,mismatch_prop,first_lat,first_lon,second_lat,second_lon,date_eval
L3737,1443,APCL16_654,8129,7854,7.6,O,NA,NA,NA,NA,MRS,NA,332,12:55:00,NA,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5340,1443,APCL16_654,8129,7854,7.6,O,NA,NA,NA,NA,MRS,NA,332,12:55:00,NA,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1422,21,0,0,Fuzzy match,0.014553014553014554,10.860984746825,124.7219708981,10.860984746825,124.7219708981,FAIL
L3739,1447,APCL16_652,8127,7853,6.7,O,NA,NA,NA,NA,MRS,NA,332,12:55:00,2509,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5339,1444,APCL16_652,8127,7853,6.7,O,NA,NA,NA,NA,MRS,NA,332,12:55:00,2509,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1422,22,0,0,Fuzzy match,0.015235457063711912,10.860984746825,124.7219708981,10.860984746825,124.7219708981,FAIL
L3702,1447,APCL16_690,8170,7926,7.9,O,NA,N,985153000372398,NA,MRS,NA,333,09:22:00,2149,433,MRS,NA,49,2016-06-07,Sitio Baybayon,4,0,L5375,1447,APCL16_690,8170,7926,7.9,O,NA,N,985153000372398,NA,MRS,NA,333,09:22:00,2149,433,MRS,NA,49,2016-06-07,Sitio Baybayon,4,0,1423,24,0,0,Fuzzy match,0.0165860400829302,10.63253863715,124.776821569575,10.63253863715,124.776821569575,FAIL
L3708,1447,APCL16_684,8161,7920,5.4,W,NA,NA,NA,NA,MRS,NA,332,14:28:00,2525,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5370,1447,APCL16_684,8161,7920,5.4,W,NA,NA,NA,NA,MRS,NA,332,14:28:00,2525,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1423,24,0,0,Fuzzy match,0.0165860400829302,10.8610949479,124.72169892630001,10.8610949479,124.72169892630001,FAIL
L3733,1447,APCL16_659,8134,7854,8,YP,NA,NA,NA,NA,MRS,NA,332,12:55:00,NA,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5344,1447,APCL16_659,8134,7854,8,YP,NA,NA,NA,NA,MRS,NA,332,12:55:00,NA,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1424,23,0,0,Fuzzy match,0.015894955079474776,10.860984746825,124.7219708981,10.860984746825,124.7219708981,FAIL
L2575,1447,APCL15_131,6453,6680,4.2,YR,1229,NA,NA,NA,MRS,NA,273,14:55:00,2150,372,MRS,NA,26,2015-06-11,Sitio Baybayon,3,0,L5032,1447,APCL15_131,6453,6680,4.2,YR,1229,NA,NA,NA,MRS,NA,273,14:55:00,2150,372,MRS,NA,26,2015-06-11,Sitio Baybayon,3,0,1425,22,0,0,Fuzzy match,0.01520387007601935,10.632543561525,124.77670026244999,10.632543561525,124.77670026244999,FAIL
L3742,1447,APCL16_649,8124,7853,6.2,YR,NA,NA,NA,NA,MRS,NA,332,12:55:00,2509,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5336,1447,APCL16_649,8124,7853,6.2,YR,NA,NA,NA,NA,MRS,NA,332,12:55:00,2509,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1425,22,0,0,Fuzzy match,0.01520387007601935,10.860984746825,124.7219708981,10.860984746825,124.7219708981,FAIL
L3699,1447,APCL16_693,8177,7931,9.1,O,NA,N,985153000370612,NA,MRS,NA,333,09:39:00,2530,137,MRS,NA,49,2016-06-07,Sitio Baybayon,4,0,L5378,1447,APCL16_693,8177,7931,9.1,O,NA,N,985153000370612,NA,MRS,NA,333,09:39:00,2530,137,MRS,NA,49,2016-06-07,Sitio Baybayon,4,0,1426,21,0,0,Fuzzy match,0.014512785072563926,10.6326634437,124.7767522093,10.6326634437,124.7767522093,FAIL
L3711,1447,APCL16_681,8158,7917,8,O,NA,NA,NA,NA,MRS,NA,332,14:23:00,2524,993,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5366,1447,APCL16_681,8158,7917,8,O,NA,NA,NA,NA,MRS,NA,332,14:23:00,2524,993,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1426,21,0,0,Fuzzy match,0.014512785072563926,10.861089709225,124.721706009025,10.861089709225,124.721706009025,FAIL
L3727,1447,APCL16_665,8140,7874,8.3,YP,NA,NA,NA,NA,MRS,NA,332,13:09:00,2512,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5350,1447,APCL16_665,8140,7874,8.3,YP,NA,NA,NA,NA,MRS,NA,332,13:09:00,2512,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1426,21,0,0,Fuzzy match,0.014512785072563926,10.8609729493,124.7218858427,10.8609729493,124.7218858427,FAIL
