First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
L0261,1417,L1231,1439,1348,69, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0277,1425,L2415,1259,1183,58, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0285,1447,L2563,1447,1398,49, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0308,1447,L1761,1416,1363,53, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0311,1443,L1766,1426,1345,81, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0315,1443,L2269,1367,1278,89, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0316,1433,L2434,1434,1370,54, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0327,1440,L2436,1428,1351,70, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0340,1447,L2437,1447,1384,63, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0341,1444,L2319,1439,1349,87, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0344,1447,L0691,1443,1355,88, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0346,1447,L2368,1444,1372,72, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0372,1440,L2226,1301,1227,74, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0373,1442,L2481,1442,1387,55, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0379,1445,L2373,1359,1311,46, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0388,1445,L2372,1430,1361,67, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0391,1446,L2375,1416,1361,55, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0395,1441,L2476,1446,1364,76, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0410,1433,L2431,1429,1360,60, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0416,1439,L2569,1447,1381,58, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0417,1445,L2570,1447,1396,49, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0420,1406,L2571,1447,1334,72, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0434,1445,L0947,1401,1340,59, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0434,1445,L2676,1405,1329,74, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0434,1445,L5446,1447,1376,69, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0459,1087,L2344,1322,942,64, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0465,1195,L1733,1446,1120,74, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0593,1136,L2871,1234,928,63, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0594,1087,L2952,1426,1021,51, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0601,1299,L2848,1428,1230,61, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0608,1164,L2905,1334,1012,59, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0613,1264,L3879,1447,1220,44, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0631,1238,L2862,1442,1178,56, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0653,1437,L2752,1401,1333,58, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0653,1437,L5254,1447,1401,36, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0655,1431,L2268,1333,1221,100, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0658,1430,L0923,1447,1396,34, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0670,1443,L0726,1447,1412,31, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0677,1447,L0730,1447,1384,63, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0677,1447,L2607,1315,1264,51, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0677,1447,L5615,1447,1408,39, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0678,1447,L0737,1383,1324,59, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0683,1447,L1013,1445,1420,25, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0690,1443,L2318,1431,1370,58, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0696,1442,L0712,1447,1402,40, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
L0700,1418,L2745,1372,1268,79, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
