First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
APCL_L0261,1417,APCL_L1231,1439,1348,69, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0277,1425,APCL_L2415,1259,1183,58, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0285,1447,APCL_L2563,1447,1398,49, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0308.L3599,1447,APCL_L1761,1416,1363,53, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0311,1443,APCL_L1766,1426,1345,81, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0315,1443,APCL_L2269,1367,1278,89, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0316,1433,APCL_L2434,1434,1370,54, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0327,1440,APCL_L2436,1428,1351,70, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0340,1447,APCL_L2437,1447,1384,63, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0341,1444,APCL_L2319,1439,1349,87, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0344,1447,APCL_L0691,1443,1355,88, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0346,1447,APCL_L2368,1444,1372,72, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0372,1440,APCL_L2226,1301,1227,74, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0373,1442,APCL_L2481,1442,1387,55, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0379,1445,APCL_L2373,1359,1311,46, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_L0388,1445,APCL_L2372,1430,1361,67, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
